,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
8733,School Dance,"Streaming Jan 3, 2015",,,positive,73%
8734,Spiral,"Streaming Oct 13, 2020",positive,77%,negative,41%
8735,Sudden Impact,"Streaming Jan 1, 2009",negative,51%,negative,54%
8736,Surviving Christmas,"Streaming Dec 26, 2016",negative,8%,negative,30%
8737,Swimfan,"Streaming Nov 25, 2015",negative,15%,negative,32%
8738,The Borrowers,"Streaming Sep 10, 2015",positive,75%,negative,49%
8739,The Burnt Orange Heresy,"Streaming Aug 6, 2020",positive,66%,positive,81%
8740,The Car,"Streaming Apr 20, 2016",negative,30%,negative,53%
8741,The Deep,"Streaming Apr 16, 2012",negative,42%,negative,39%
8742,The Great Mom Swap,"Streaming Apr 27, 2018",,,,
8743,The Jungle Book 2,"Streaming May 21, 2017",negative,19%,negative,30%
8744,The New Daughter,"Streaming Dec 15, 2010",negative,40%,negative,24%
8745,The Newton Boys,"Streaming Mar 1, 2013",positive,65%,negative,44%
8746,The Paper,"Streaming Oct 28, 2015",positive,89%,positive,66%
8747,The Paramedic,"Streaming Sep 16, 2020",negative,44%,negative,31%
8748,The Pink Panther 2,"Streaming Apr 12, 2017",negative,13%,negative,42%
8749,The Toy,"Streaming Apr 16, 2012",negative,3%,negative,53%
8750,The Twin,"Streaming May 6, 2022",negative,41%,negative,27%
8751,The Vanishing of Sidney Hall,"Streaming Mar 2, 2018",negative,12%,positive,77%
8752,To the Wonder,"Streaming Apr 12, 2014",negative,47%,negative,37%
8753,Under Siege 2: Dark Territory,"Streaming May 8, 2015",negative,35%,negative,38%
8754,What We Leave Behind,"Streaming Sep 30, 2022",positive,100%,positive,91%
8755,A Banquet,"Streaming Feb 18, 2022",negative,57%,negative,28%
8756,About Last Night ...,"Streaming Apr 16, 2012",positive,65%,positive,60%
8757,Airheads,"Streaming Nov 30, 2016",negative,29%,negative,50%
8758,All of Me,"Streaming Nov 1, 2008",positive,85%,positive,67%
8759,All the Devil's Men,"Streaming Dec 11, 2018",negative,25%,negative,24%
8760,Along for the Ride,"Streaming May 6, 2022",negative,58%,positive,83%
8761,Another Cinderella Story,"Streaming Sep 16, 2008",,,positive,74%
8762,Atlantis: Milo's Return,"Streaming Jan 1, 2014",,,negative,24%
8763,Benny & Joon,"Streaming Oct 29, 2016",positive,76%,positive,85%
8764,BloodRayne,"Streaming Jan 29, 2019",negative,4%,negative,17%
8765,Bloody Birthday,"Streaming Jan 25, 2017",positive,75%,negative,36%
8766,Boy,"Streaming Nov 6, 2014",positive,88%,positive,86%
8767,Cast a Giant Shadow,"Streaming Apr 28, 2017",,,negative,51%
8768,Cinderella II: Dreams Come True,"Streaming May 21, 2017",negative,13%,negative,32%
8769,"Corrina, Corrina","Streaming Sep 1, 2016",negative,37%,positive,69%
8770,Crock of Gold: A Few Rounds With Shane MacGowan,"Streaming Dec 4, 2020",positive,96%,positive,91%
8771,Deadly Illusions,"Streaming Mar 19, 2021",negative,21%,negative,13%
8772,Desperate Hours,"Streaming Jun 1, 2017",negative,29%,negative,22%
8773,Enemy Mine,"Streaming Feb 14, 2016",negative,59%,positive,68%
8774,Every Which Way But Loose,"Streaming Aug 18, 2008",negative,42%,negative,56%
8775,First Love,"Streaming Oct 24, 2019",positive,98%,positive,88%
8776,Flashback,"Streaming Jun 4, 2021",negative,52%,positive,61%
8777,Fly Away Home,"Streaming Apr 2, 2013",positive,88%,positive,70%
8778,Found Footage,"Streaming Oct 29, 2017",positive,100%,negative,51%
8779,Frankenstein Created Woman,"Streaming Mar 10, 2017",positive,62%,negative,57%
8780,God's Not Dead: We the People,"Streaming Nov 22, 2021",,,positive,100%
8781,He's Watching,"Streaming Jul 21, 2022",positive,90%,negative,46%
8782,Horror Express,"Streaming Dec 15, 2016",positive,80%,negative,53%
8783,Ittefaq,"Streaming Dec 17, 2017",positive,91%,positive,76%
8784,Jackass: The Movie,"Streaming Jul 1, 2012",negative,48%,positive,75%
8785,Just One of the Guys,"Streaming Mar 1, 2011",negative,57%,positive,65%
8786,Kickboxer: Retaliation,"Streaming Jan 26, 2018",positive,93%,positive,84%
8787,Love Is in the Air,"Streaming Sep 28, 2023",negative,29%,negative,53%
8788,"Love, Charlie: The Rise and Fall of Chef Charlie Trotter","Streaming Nov 18, 2022",positive,90%,positive,98%
8789,Made in Belfast,"Streaming May 22, 2016",,,positive,78%
8790,Mom's Got a Date With a Vampire,"Streaming Nov 2, 2016",,,negative,51%
8791,Mr. In-Between,"Streaming Sep 1, 2016",,,negative,55%
8792,My Blueberry Nights,"Streaming Aug 10, 2016",negative,45%,positive,61%
8793,My Secret Billionaire,"Streaming Mar 9, 2021",,,negative,30%
8794,Nobody Sleeps in the Woods Tonight 2,"Streaming Oct 27, 2021",,,negative,22%
8795,Novitiate,"Streaming Feb 20, 2018",positive,86%,positive,68%
8796,One Day as a Lion,"Streaming Apr 7, 2023",positive,60%,negative,48%
8797,Our Son,"Streaming Dec 15, 2023",positive,85%,positive,79%
8798,Rally Road Racers,"Streaming Jun 27, 2023",positive,70%,positive,78%
8799,Ramona and Beezus,"Streaming Nov 25, 2015",positive,70%,positive,71%
8800,Ratchet & Clank,"Streaming Oct 1, 2016",negative,22%,negative,42%
8801,Raw Deal,"Streaming Oct 6, 2016",negative,31%,negative,29%
8802,Red Tails,"Streaming Mar 1, 2013",negative,40%,negative,57%
8803,Shin Ultraman,"Streaming Jul 11, 2023",positive,94%,positive,85%
8804,Skins,"Streaming Apr 4, 2017",,,negative,36%
8805,Still Life: A Three Pines Mystery,"Streaming Apr 16, 2017",,,negative,58%
8806,Super Size Me,"Streaming Nov 3, 2015",positive,92%,positive,72%
8807,Survive,"Streaming Jun 20, 2023",,,negative,42%
8808,Suspect Zero,"Streaming Nov 14, 2014",negative,17%,negative,38%
8809,Sylvie's Love,"Streaming Dec 23, 2020",positive,94%,positive,76%
8810,The Animatrix,"Streaming Apr 19, 2016",positive,89%,positive,78%
8811,The Incredible Burt Wonderstone,"Streaming Jun 25, 2013",negative,37%,negative,33%
8812,The Last Five Years,"Streaming Aug 10, 2016",negative,59%,negative,57%
8813,The Pass,"Streaming May 4, 2018",positive,89%,positive,69%
8814,The Spitfire Grill,"Streaming Feb 1, 2011",negative,38%,positive,76%
8815,The Stepford Wives,"Streaming Sep 20, 2018",positive,67%,positive,65%
8816,The Stones and Brian Jones,"Streaming Nov 17, 2023",positive,92%,positive,84%
8817,The Whole Truth,"Streaming Dec 2, 2021",,,negative,30%
8818,The Wrath of God,"Streaming Jun 15, 2022",negative,29%,negative,30%
8819,Things Fall Apart,"Streaming Aug 13, 2012",,,negative,58%
8820,Three Men and a Baby,"Streaming Jan 1, 2014",positive,67%,negative,48%
8821,Torso,"Streaming Dec 9, 2016",positive,60%,negative,55%
8822,Trumbo,"Streaming May 17, 2016",positive,75%,positive,79%
8823,Trunk - Locked In,"Streaming Jan 26, 2024",positive,100%,negative,47%
8824,We Go On,"Streaming May 4, 2017",positive,92%,negative,57%
8825,All the Way,"Streaming Nov 30, 2016",positive,85%,positive,83%
8826,Another Year,"Streaming Jul 7, 2011",positive,93%,positive,74%
8827,Bad Samaritan,"Streaming Aug 4, 2018",negative,54%,positive,65%
8828,Bandolero!,"Streaming Mar 1, 2013",negative,20%,negative,50%
8829,Behind the Curve,"Streaming Nov 20, 2018",positive,91%,positive,65%
8830,Bitch Ass,"Streaming Oct 14, 2022",positive,70%,positive,67%
8831,Breakfast on Pluto,"Streaming Sep 25, 2012",negative,58%,positive,80%
8832,Cobweb,"Streaming Feb 9, 2024",positive,74%,negative,23%
8833,Cold Comfort Farm,"Streaming Oct 1, 2014",positive,83%,positive,81%
8834,Concussion,"Streaming Aug 10, 2016",positive,77%,negative,57%
8835,Convoy,"Streaming Nov 30, 2016",negative,56%,positive,72%
8836,Dheepan,"Streaming Nov 30, 2016",positive,87%,positive,81%
8837,Flight of the Phoenix,"Streaming Dec 2, 2015",negative,31%,negative,40%
8838,Heartbreakers,"Streaming Nov 1, 2016",negative,54%,negative,51%
8839,Icarus,"Streaming Aug 4, 2017",positive,92%,positive,93%
8840,Jagged Mind,"Streaming Jun 15, 2023",positive,63%,negative,44%
8841,Johnny Be Good,"Streaming Sep 16, 2008",negative,0%,negative,30%
8842,Ju-on: The Grudge 2,"Streaming Oct 21, 2019",negative,55%,positive,69%
8843,Julieta,"Streaming Mar 21, 2017",positive,84%,positive,74%
8844,Kin,"Streaming Nov 6, 2018",negative,36%,negative,54%
8845,Koyaanisqatsi,"Streaming Oct 17, 2016",positive,91%,positive,91%
8846,Let the Wrong One In,"Streaming Apr 1, 2022",positive,88%,positive,82%
8847,Lethal Weapon 4,"Streaming Aug 15, 2008",negative,52%,positive,64%
8848,Like Crazy,"Streaming Jun 6, 2014",positive,71%,positive,62%
8849,Man Bites Dog,"Streaming Mar 2, 2017",positive,70%,positive,90%
8850,Night of the Demons 2,"Streaming Jan 6, 2017",positive,80%,positive,61%
8851,North,"Streaming Jan 1, 2013",negative,14%,negative,27%
8852,Nothing Like a Dame,"Streaming Sep 27, 2018",positive,98%,positive,77%
8853,Nothing to Hide,"Streaming Nov 16, 2018",positive,83%,positive,74%
8854,Prom Pact,"Streaming Mar 31, 2023",positive,89%,positive,70%
8855,Promare,"Streaming Apr 19, 2020",positive,97%,positive,93%
8856,Q & A,"Streaming Nov 15, 2013",positive,88%,negative,58%
8857,Raven's Hollow,"Streaming Sep 22, 2022",positive,67%,negative,59%
8858,Redemption Day,"Streaming Jan 12, 2021",negative,14%,negative,49%
8859,Silver Streak,"Streaming Feb 14, 2016",positive,76%,positive,71%
8860,Simon Birch,"Streaming Aug 10, 2016",negative,44%,positive,77%
8861,Something Wild,"Streaming Sep 16, 2008",positive,91%,positive,69%
8862,Still Breathing,"Streaming Sep 22, 2017",positive,62%,positive,78%
8863,Stir Crazy,"Streaming Mar 1, 2011",positive,69%,positive,75%
8864,Stop! Or My Mom Will Shoot,"Streaming Feb 12, 2014",negative,14%,negative,21%
8865,Tag,"Streaming May 23, 2017",positive,92%,positive,61%
8866,Teen Lust,"Streaming Aug 25, 2015",,,negative,23%
8867,The Blue Room,"Streaming Apr 2, 2017",positive,88%,negative,50%
8868,The Contender,"Streaming May 8, 2015",positive,77%,positive,73%
8869,The High Note,"Streaming Jun 25, 2020",positive,71%,positive,73%
8870,The Last of Sheila,"Streaming Jan 1, 2008",positive,90%,positive,84%
8871,The Lion in Winter,"Streaming Feb 4, 2014",positive,91%,positive,90%
8872,The Longest Day,"Streaming Mar 1, 2013",positive,84%,positive,90%
8873,The Many Adventures of Winnie the Pooh,"Streaming Jan 1, 2014",positive,100%,positive,87%
8874,The Monkey King 3,"Streaming May 5, 2018",negative,29%,negative,48%
8875,The Parent Trap,"Streaming Mar 1, 2013",positive,89%,positive,75%
8876,The Phantom Carriage,"Streaming Oct 31, 2016",positive,100%,positive,89%
8877,The Row,"Streaming Jul 30, 2018",,,negative,17%
8878,The Shakedown,"Streaming Aug 8, 2024",,,positive,100%
8879,Wild Wild Punjab,"Streaming Jul 10, 2024",negative,31%,positive,73%
8880,Win Win,"Streaming Nov 25, 2015",positive,95%,positive,85%
8881,Wishmaster 2: Evil Never Dies,"Streaming Oct 1, 2013",negative,9%,negative,30%
8882,You Might Be the Killer,"Streaming Dec 4, 2018",positive,60%,negative,47%
8883,#Untruth: The Psychology of Trumpism,"Streaming Sep 3, 2024",,,,
8884,12 Hour Shift,"Streaming Oct 2, 2020",positive,78%,negative,47%
8885,A Jazzman's Blues,"Streaming Sep 23, 2022",positive,67%,positive,85%
8886,A Very Long Engagement,"Streaming Jul 24, 2014",positive,79%,positive,85%
8887,Alice,"Streaming Apr 5, 2022",negative,30%,negative,57%
8888,Anti Matter,"Streaming Sep 8, 2017",positive,91%,positive,77%
8889,April Fool's Day,"Streaming Aug 1, 2013",negative,58%,negative,47%
8890,Aquarians,"Streaming Dec 24, 2018",,,,
8891,Ashfall,"Streaming Sep 16, 2020",positive,73%,positive,74%
8892,BPM (Beats Per Minute),"Streaming Jan 23, 2018",positive,99%,positive,84%
8893,Beach Rats,"Streaming Nov 7, 2017",positive,84%,negative,57%
8894,Beasts of the Southern Wild,"Streaming Apr 27, 2014",positive,87%,positive,76%
8895,Beyond the Lights,"Streaming Feb 24, 2015",positive,83%,positive,75%
8896,Beyond the Valley of the Dolls,"Streaming Sep 24, 2013",positive,76%,positive,72%
8897,Bhakshak,"Streaming Feb 9, 2024",negative,50%,positive,87%
8898,Big Game,"Streaming Jun 26, 2015",positive,77%,negative,34%
8899,Bitter Harvest,"Streaming Jun 13, 2017",negative,15%,positive,67%
8900,Bliss,"Streaming Sep 27, 2019",positive,86%,positive,62%
8901,Brain Dead,"Streaming May 3, 2018",negative,17%,positive,68%
8902,Cold Blows The Wind,"Streaming Jul 2, 2024",positive,100%,,
8903,Corner Office,"Streaming Aug 4, 2023",negative,22%,positive,61%
8904,D-Day: 80th Anniversary,"Streaming Jun 4, 2024",,,,
8905,Diary of a Wimpy Kid: Rodrick Rules,"Streaming Dec 2, 2022",negative,50%,negative,48%
8906,Dreamscape,"Streaming Oct 21, 2016",positive,79%,negative,46%
8907,Drifting Home,"Streaming Sep 16, 2022",positive,69%,positive,79%
8908,Eega,"Streaming Apr 20, 2017",positive,100%,positive,85%
8909,Extinction,"Streaming Nov 30, 2016",negative,18%,negative,34%
8910,Extract,"Streaming Apr 21, 2016",positive,62%,negative,38%
8911,Fahrenheit 451,"Streaming Oct 1, 2011",positive,81%,positive,72%
8912,Fido,"Streaming Nov 1, 2011",positive,71%,positive,72%
8913,Greed,"Streaming May 5, 2020",negative,50%,negative,32%
8914,Harold & Kumar Escape From Guantanamo Bay,"Streaming May 2, 2010",negative,53%,positive,60%
8915,Home of the Brave,"Streaming Apr 15, 2014",negative,23%,negative,46%
8916,Horseplay,"Streaming Jun 13, 2023",positive,63%,negative,53%
8917,Krull,"Streaming Jan 1, 2012",negative,35%,negative,52%
8918,Man on a Ledge,"Streaming Dec 19, 2015",negative,31%,negative,52%
8919,Matt Rife: Natural Selection,"Streaming Nov 15, 2023",,,negative,19%
8920,Mikey and Nicky,"Streaming Apr 26, 2019",positive,88%,positive,79%
8921,Mother and Child,"Streaming Apr 16, 2012",positive,79%,positive,76%
8922,Night Watch,"Streaming Mar 1, 2013",negative,59%,positive,72%
8923,Night at the Museum: Kahmunrah Rises Again,"Streaming Dec 9, 2022",positive,77%,negative,36%
8924,Parallel,"Streaming Dec 11, 2020",positive,82%,negative,44%
8925,Paris Is Burning,"Streaming May 5, 2017",positive,98%,positive,88%
8926,Purgatory,"Streaming Apr 1, 2012",,,positive,79%
8927,Rosaline,"Streaming Oct 14, 2022",positive,75%,positive,76%
8928,School for Scoundrels,"Streaming Aug 10, 2016",negative,26%,negative,52%
8929,Sin nombre,"Streaming Aug 10, 2016",positive,88%,positive,89%
8930,Six Minutes to Midnight,"Streaming Mar 26, 2021",negative,36%,negative,47%
8931,Smoke,"Streaming Apr 19, 2016",positive,88%,positive,89%
8932,Spy Kids: All the Time in the World in 4D,"Streaming Aug 19, 2013",negative,23%,negative,37%
8933,Star Trek VI: The Undiscovered Country,"Streaming Dec 16, 2009",positive,83%,positive,84%
8934,Ten Inch Hero,"Streaming Mar 23, 2017",,,positive,81%
8935,The Beach Boys,"Streaming May 24, 2024",positive,89%,positive,81%
8936,The Butterfly Effect 2,"Streaming Jul 1, 2011",,,negative,27%
8937,The Cooler,"Streaming Sep 3, 2013",positive,77%,positive,69%
8938,The Dead Pool,"Streaming Jan 1, 2008",negative,53%,negative,44%
8939,The Flood,"Streaming Jul 14, 2023",negative,33%,negative,22%
8940,The Hidden Face,"Streaming Oct 14, 2014",,,positive,73%
8941,The House Next Door,"Streaming Jan 2, 2018",positive,100%,negative,53%
8942,The Last Manhunt,"Streaming Nov 18, 2022",negative,20%,positive,86%
8943,The Omega Man,"Streaming Jan 6, 2010",positive,65%,negative,53%
8944,The Peacemaker,"Streaming May 1, 2012",negative,46%,negative,39%
8945,The Quiet American,"Streaming Oct 8, 2016",positive,86%,positive,72%
8946,The Recruit,"Streaming Aug 10, 2016",negative,44%,negative,58%
8947,The Secret Kingdom,"Streaming Jun 9, 2023",positive,65%,negative,46%
8948,The Tiger: An Old Hunter's Tale,"Streaming Aug 9, 2016",positive,100%,positive,75%
8949,Upstream Color,"Streaming Oct 4, 2016",positive,87%,positive,69%
8950,When a Man Loves a Woman,"Streaming Jan 1, 2014",positive,69%,positive,77%
8951,When the Wind Blows,"Streaming Jul 12, 2020",positive,88%,positive,88%
8952,White Oleander,"Streaming Dec 1, 2010",positive,69%,positive,81%
8953,Wild America,"Streaming Nov 28, 2017",negative,29%,negative,59%
8954,84 Charing Cross Road,"Streaming Nov 20, 2012",positive,85%,positive,81%
8955,A Better Tomorrow,"Streaming Mar 9, 2016",positive,93%,positive,89%
8956,A House on the Bayou,"Streaming Nov 19, 2021",,,negative,36%
8957,A Little Game,"Streaming Dec 5, 2016",negative,40%,negative,42%
8958,Affairs of State,"Streaming Jun 15, 2018",,,negative,53%
8959,Ali Wong: Baby Cobra,"Streaming May 6, 2016",positive,100%,positive,74%
8960,Antwone Fisher,"Streaming Nov 25, 2015",positive,78%,positive,86%
8961,Appropriate Behavior,"Streaming Nov 30, 2016",positive,97%,positive,64%
8962,Arizona,"Streaming Aug 24, 2018",negative,43%,negative,45%
8963,Bait,"Streaming Aug 7, 2014",negative,46%,negative,28%
8964,Beavis and Butt-Head Do the Universe,"Streaming Jun 23, 2022",positive,97%,positive,84%
8965,Bringing Down the House,"Streaming Aug 10, 2016",negative,33%,negative,49%
8966,Broken Arrow,"Streaming Mar 1, 2013",negative,53%,negative,44%
8967,Buried Alive & Survived,"Streaming Sep 22, 2024",,,,
8968,Carmilla,"Streaming Jul 17, 2020",positive,76%,negative,56%
8969,Cassandro,"Streaming Sep 22, 2023",positive,91%,positive,74%
8970,Crossroads,"Streaming May 25, 2010",positive,76%,positive,82%
8971,Deep Fear,"Streaming Nov 3, 2023",,,negative,28%
8972,Dominique,"Streaming Jan 25, 2017",,,negative,50%
8973,Dragon Ball Z: Resurrection F,"Streaming Oct 9, 2015",positive,83%,positive,83%
8974,Duck Butter,"Streaming Apr 24, 2018",negative,55%,negative,41%
8975,Fearless,"Streaming May 23, 2016",positive,74%,positive,86%
8976,Final Cut,"Streaming Sep 12, 2023",positive,71%,positive,73%
8977,Freeway,"Streaming Apr 19, 2016",positive,76%,positive,76%
8978,Ghoulies,"Streaming Sep 16, 2008",negative,7%,negative,20%
8979,Halo 4: Forward Unto Dawn,"Streaming Dec 1, 2013",,,positive,69%
8980,Her Smell,"Streaming May 10, 2019",positive,84%,negative,44%
8981,High Society,"Streaming Oct 1, 2016",positive,83%,positive,82%
8982,Home Sweet Hell,"Streaming Jan 1, 2016",negative,5%,negative,27%
8983,Innerspace,"Streaming Jan 1, 2009",positive,82%,positive,65%
8984,Intolerable Cruelty,"Streaming Jul 22, 2015",positive,76%,negative,48%
8985,Kahaani,"Streaming May 1, 2017",positive,100%,positive,88%
8986,Killer Bean Forever,"Streaming Dec 18, 2020",,,positive,96%
8987,Little Manhattan,"Streaming Dec 11, 2015",positive,77%,positive,86%
8988,Lorelei,"Streaming Jul 30, 2021",positive,89%,positive,67%
8989,Lousy Carter,"Streaming Mar 29, 2024",positive,71%,positive,85%
8990,Mrs. Henderson Presents,"Streaming Aug 10, 2016",positive,68%,positive,72%
8991,My Boyfriend's Back,"Streaming Jan 1, 2014",negative,13%,negative,45%
8992,My Father's Dragon,"Streaming Nov 11, 2022",positive,87%,positive,71%
8993,New Year's Eve,"Streaming May 1, 2012",negative,7%,negative,45%
8994,Okafor's Law,"Streaming Dec 13, 2019",,,,
8995,Oliver Twist,"Streaming Nov 18, 2016",positive,100%,positive,84%
8996,Outback,"Streaming Jun 7, 2020",,,negative,29%
8997,"Pamela, a Love Story","Streaming Jan 31, 2023",positive,96%,positive,92%
8998,Piranha,"Streaming May 3, 2018",positive,72%,negative,52%
8999,Private School,"Streaming Mar 18, 2014",,,negative,38%
9000,Rampart,"Streaming Dec 8, 2015",positive,73%,negative,35%
9001,Rent-a-Pal,"Streaming Sep 11, 2020",positive,69%,positive,63%
9002,Rule of Thirds,"Streaming Jun 28, 2024",,,positive,98%
9003,Secrets of the Neanderthals,"Streaming May 2, 2024",,,negative,55%
9004,Shadow Land,"Streaming Jun 4, 2024",,,negative,33%
9005,SiREN,"Streaming Dec 6, 2016",positive,67%,negative,40%
9006,Sitting in Bars with Cake,"Streaming Sep 8, 2023",positive,77%,positive,84%
9007,Tanner Hall,"Streaming Apr 6, 2017",negative,16%,negative,26%
9008,The Audrey Hepburn Story,"Streaming Jan 24, 2021",negative,20%,negative,48%
9009,The Bear,"Streaming Aug 10, 2016",positive,88%,positive,82%
9010,The Boy Who Never Was,"Streaming Aug 25, 2018",,,,
9011,The Boys in the Band,"Streaming Sep 30, 2020",positive,85%,positive,74%
9012,The Conspirator,"Streaming Oct 11, 2016",negative,56%,positive,62%
9013,The East,"Streaming Nov 25, 2015",positive,77%,positive,64%
9014,The Ghost and Mrs. Muir,"Streaming Feb 1, 2017",positive,100%,positive,88%
9015,The Love Guru,"Streaming Jun 15, 2011",negative,13%,negative,33%
9016,The Mustang,"Streaming Jun 4, 2019",positive,95%,positive,75%
9017,The Noble Family,"Streaming Sep 2, 2014",positive,88%,positive,82%
9018,The Sleepover,"Streaming Aug 22, 2020",positive,67%,positive,72%
9019,The Treacherous,"Streaming Apr 4, 2017",,,positive,62%
9020,Twelve,"Streaming Oct 4, 2016",negative,3%,negative,32%
9021,Who Killed Santa? A Murderville Murder Mystery,"Streaming Dec 15, 2022",positive,91%,positive,85%
9022,Wired Shut,"Streaming Nov 30, 2021",,,negative,31%
9023,Woodlawn,"Streaming Jun 23, 2016",positive,79%,positive,80%
9024,Zero Contact,"Streaming May 27, 2022",negative,10%,negative,12%
9025,A Closed Book,"Streaming Dec 9, 2016",negative,13%,negative,25%
9026,A Muse,"Streaming Apr 4, 2017",,,positive,70%
9027,Aliens in the Attic,"Streaming Nov 25, 2015",negative,34%,negative,43%
9028,Andrei Rublev,"Streaming Sep 29, 2018",positive,96%,positive,93%
9029,Animal Crackers,"Streaming Jul 24, 2020",positive,67%,positive,77%
9030,Assimilate,"Streaming May 24, 2019",negative,57%,negative,58%
9031,Balls of Fury,"Streaming Sep 10, 2015",negative,21%,negative,33%
9032,Batman: Death in the Family,"Streaming Oct 13, 2020",positive,78%,negative,58%
9033,Belle,"Streaming Feb 1, 2016",positive,84%,positive,82%
9034,Bhaag Milkha Bhaag,"Streaming May 21, 2017",positive,75%,positive,84%
9035,Breath,"Streaming Sep 5, 2018",positive,80%,positive,74%
9036,Bringing Up Baby,"Streaming Jan 1, 2008",positive,97%,positive,89%
9037,Catching Fire: The Story of Anita Pallenberg,"Streaming May 3, 2024",positive,86%,,
9038,Clickbait,"Streaming Jun 18, 2019",,,negative,46%
9039,Coded Bias,"Streaming Apr 5, 2021",positive,100%,negative,58%
9040,Cold Comes the Night,"Streaming Mar 4, 2014",negative,43%,negative,29%
9041,Cold Skin,"Streaming Sep 7, 2018",negative,50%,negative,56%
9042,Dead Wrong,"Streaming May 21, 2024",,,,
9043,Dear Zindagi,"Streaming Mar 18, 2017",positive,73%,positive,73%
9044,Delivery,"Streaming Nov 30, 2016",positive,71%,negative,32%
9045,Diary of a Nymphomaniac,"Streaming Nov 22, 2015",,,negative,48%
9046,Drunken Master - The Beginning,"Streaming May 1, 2012",positive,81%,positive,85%
9047,Every Breath You Take,"Streaming Apr 2, 2021",negative,20%,positive,89%
9048,Extortion,"Streaming May 16, 2017",,,negative,53%
9049,Feast of the Seven Fishes,"Streaming Nov 15, 2019",positive,88%,positive,87%
9050,From Here to Eternity,"Streaming Apr 16, 2012",positive,88%,positive,84%
9051,Guess Who's Coming to Dinner,"Streaming Jul 21, 2007",positive,71%,positive,85%
9052,Hamlet,"Streaming Mar 28, 2017",positive,76%,negative,59%
9053,Hardcore,"Streaming Dec 15, 2010",positive,80%,positive,67%
9054,Heavy Trip,"Streaming Oct 12, 2018",positive,94%,positive,84%
9055,Ishtar,"Streaming Aug 6, 2013",negative,40%,negative,39%
9056,Marguerite's Theorem,"Streaming Aug 15, 2024",positive,60%,,
9057,My Best Friend's Girl,"Streaming Sep 9, 2016",negative,14%,negative,46%
9058,My Big Fat Greek Wedding 2,"Streaming Oct 4, 2016",negative,28%,negative,52%
9059,Naked Singularity,"Streaming Aug 13, 2021",negative,28%,negative,30%
9060,Nancy Drew and the Hidden Staircase,"Streaming Mar 26, 2019",positive,76%,positive,61%
9061,Open Season: Scared Silly,"Streaming Oct 19, 2016",,,negative,35%
9062,Porn Star Zombies,"Streaming Jun 18, 2016",,,positive,79%
9063,Ratter,"Streaming Oct 17, 2016",,,positive,64%
9064,Skin,"Streaming Mar 7, 2019",,,positive,95%
9065,Some Like It Rare,"Streaming Oct 14, 2022",positive,100%,positive,70%
9066,Soul Food,"Streaming Nov 25, 2015",positive,82%,positive,86%
9067,Species II,"Streaming Mar 26, 2017",negative,9%,negative,18%
9068,Stan & Ollie,"Streaming Mar 26, 2019",positive,93%,positive,83%
9069,Starship Troopers: Invasion,"Streaming Apr 16, 2012",,,negative,49%
9070,Stitch! The Movie,"Streaming Jan 1, 2014",negative,20%,negative,50%
9071,Stranger Than Paradise,"Streaming Mar 8, 2017",positive,100%,positive,88%
9072,Summer of 85,"Streaming Aug 17, 2021",positive,81%,positive,79%
9073,Terror Train,"Streaming Nov 17, 2016",negative,47%,negative,37%
9074,The Bookshop,"Streaming Jan 15, 2019",negative,57%,negative,51%
9075,The Chorus,"Streaming Oct 8, 2016",positive,68%,positive,92%
9076,The Cutting Edge,"Streaming Aug 27, 2015",negative,57%,positive,77%
9077,The Miracle Worker,"Streaming Nov 24, 2010",positive,96%,positive,88%
9078,The Murder of Nicole Brown Simpson,"Streaming Jan 14, 2020",negative,0%,negative,5%
9079,The Secret of Santa Vittoria,"Streaming Sep 16, 2008",positive,75%,positive,83%
9080,The Strangler,"Streaming Sep 18, 2024",positive,100%,,
9081,They Call Me Trinity,"Streaming Sep 14, 2017",,,positive,83%
9082,Tremors: Shrieker Island,"Streaming Oct 20, 2020",negative,50%,negative,37%
9083,We're Back! A Dinosaur's Story,"Streaming Nov 12, 2013",negative,38%,negative,50%
9084,With Honors,"Streaming Oct 10, 2008",negative,19%,positive,74%
9085,5 Flights Up,"Streaming Aug 16, 2016",negative,46%,negative,43%
9086,7 Prisoners,"Streaming Nov 11, 2021",positive,98%,positive,86%
9087,Aladdin and the King of Thieves,"Streaming Sep 29, 2015",negative,33%,negative,50%
9088,An Inconvenient Truth,"Streaming Jun 15, 2011",positive,93%,positive,79%
9089,Asteroid,"Streaming Oct 1, 2021",,,negative,15%
9090,Batman and Harley Quinn,"Streaming Jul 10, 2017",negative,50%,negative,51%
9091,Battleship Potemkin,"Streaming Jul 15, 2008",positive,100%,positive,86%
9092,Burial,"Streaming Sep 2, 2022",positive,61%,negative,50%
9093,Cherry,"Streaming Dec 5, 2016",negative,14%,negative,16%
9094,Clear Cut,"Streaming Jul 19, 2024",negative,0%,,
9095,Colors,"Streaming Sep 16, 2008",positive,77%,positive,72%
9096,Cube Zero,"Streaming Aug 1, 2007",,,negative,42%
9097,Dog Gone,"Streaming Jan 13, 2023",negative,43%,positive,67%
9098,Dragon Ball Z Movie: Broly -- The Legendary Super Saiyan,"Streaming Apr 24, 2019",,,positive,75%
9099,Embrace of the Serpent,"Streaming Oct 6, 2016",positive,96%,positive,85%
9100,Get On Up,"Streaming Dec 9, 2014",positive,80%,positive,68%
