Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Daston Kalili,,,Cinema Libre Studio,,,Documentary,Chinese,"Oct 23, 2018, Limited","Oct 27, 2018",1h 11m,,Master,,,,
"Oleh Malamuzh,Oleksandra Ruban",,,SHOUT! STUDIOS,"Notorious Pictures,Just Bridge Entertainment",,"Kids & Family,Fantasy,Adventure,Comedy,Animation",,,"Aug 15, 2023",1h 39m,,Mavka: The Forest Song,,,,
Noemie Saglio,,"Philippe Planells,Noemie Saglio,Antoine Dallancour",Netflix,"Les Films du Kiosque,Petite Panthère Productions",,"Comedy,Mystery & Thriller,Action,Adventure",French (France),,"Aug 21, 2024",1h 31m,,Nice Girls,,,,
Juan Taratuto,"Felicitas Arce,Alejandra Cárdenas,Alejandro De Grazia,Cristian Sessa",,Netflix,"Sin sentido films,Tiger House Production Company",,"Action,Comedy",Spanish,,"Jul 26, 2024",1h 26m,,Non Negotiable,,,,
Castille Landon,"Jeremy Bolt,Robert Kulzer,Aron Levitz",Stephanie Sanditz,Decal,"Constantin Film,Wattpad,JB Pictures",R (Sexual Content and Language),"Drama,Romance,Sports",English,"Mar 27, 2023, Limited","Apr 14, 2023",1h 47m,,Perfect Addiction,,,,
Chip Bryant,"Libby Ryan,Art Treyhound",BC Fourteen,,,,"Kids & Family,Holiday,Comedy,Animation",English,,"Feb 7, 2021",1h 17m,,The Thanksgiving Movie,,,,
Nick DeBoer,Luke Valimont,Chase Jessop,Lionsgate,Eagle Ridge Studios,PG-13 (Sequences of Violence),Western,English,,"Mar 19, 2024",1h 45m,,Trail of Justice,,Scope (2.35:1),,
Baayan Bakari,,,,,,"Drama,Romance",,,,1h 17m,,Art of Love,,,,
David Winning,Navid Soofi,Marcy Holland,,Johnson Production Group,TV-G,"Holiday,Romance,Comedy,Drama",English,,"Nov 26, 2022",1h 24m,Stereo,Time for Him to Come Home for Christmas,,HDTV,,
"Carmen Cabana,Victor M. Dueñas","Victor M. Dueñas,Vanessa Perez,Edward Enriquez-Cohen,J.M. Longoria","J.M. Longoria,Victor M. Dueñas",,,,Drama,English,,,19m,,Bibi,,,,
Daniel Ferguson,"Taran Davies,George Duffield,Dominic Cunningham-Reid,Daniel Ferguson",Daniel Ferguson,,Cosmic Pictures,G,Documentary,British English,"Mar 15, 2019, Limited","Jul 11, 2020",47m,,Superpower Dogs,,,,
Aoife Crehan,"Pippa Cross,Paul Donovan,Casey Herbert",Aoife Crehan,,"CrossDay Productions Ltd.,Deadpan Pictures",,"Comedy,Drama",British English,,"Apr 6, 2021",1h 46m,,The Last Right,,,,
Dee Rees,,,,Elevated Films,,"Crime,Drama,Mystery & Thriller",English,"Feb 21, 2020, Limited","Feb 21, 2020",1h 55m,,The Last Thing He Wanted,,,,
Agnieszka Holland,"Fred Fuchs,Fred Roos,Tom Luddy","Frances Hodgson Burnett,Caroline Thompson",Warner Bros. Pictures,Warner Brothers,G,"Kids & Family,Drama,Fantasy",English,"Aug 1, 1993, Wide","Jan 1, 2011",1h 41m,"Surround,Stereo,Dolby Stereo",The Secret Garden,$30.0M,,,
Kellie Madison,"Tove Christensen,Georgiy Malkov,Vladimir Polyakov,Steven Schneider","Kellie Madison,Nicky Hawthorne",,Glacier Films,,Mystery & Thriller,English,,"Jun 10, 2019",1h 25m,,The Tank,,,,
Grégory Beghin,,Nicolas Tackian,,"Entre Chien et Loup,Belga Productions,Proximus",,Horror,French (France),,,1h 20m,,Deep Fear,,Scope (2.35:1),,
"Jon Erwin,Andrew Erwin",Kevin Downes,"Jon Erwin,Jon Gunn",Lionsgate Films,Kevin Downes,PG (Thematic Material),"Biography,Drama,Romance,Music",English,"Mar 13, 2020, Wide","Mar 26, 2020",1h 55m,,I Still Believe,$9.1M,Scope (2.35:1),,
Tanya Wexler,,Scott Wascha,,"Campbell Grobman Films,Millennial Films",R (Language Throughout|Strong Violence|Sexual Content),"Action,Drama",English,,"Jul 23, 2021",1h 31m,,Jolt,,Scope (2.35:1),,
Tomotaka Shibayama,,"Yuuko Kakihara,Tomotaka Shibayama",Netflix,"Studio Colorido Co.,Giggly Box,Twin Engine",,"Fantasy,Drama,Anime",Japanese,,"May 24, 2024",1h 52m,,My Oni Girl,,,,
Liam O'Donnell,"Matthew E. Chausse,Benni Diez,Liam O'Donnell,Colin Strause,Greg Strause",Liam O'Donnell,Vertical Entertainment,"Media Finance Capital,Mirabelle Pictures Productions,Fasten Films,Artbox",R (Violence and Language),"Sci-Fi,Action,Mystery & Thriller",English,"Dec 18, 2020, Limited","Dec 18, 2020",1h 50m,,Skylines,,,,
Abel Ferrara,"Edward R. Pressman,Clayton Townsend",Abel Ferrara,,"Cipa,MDP Worldwide,Les Films Number One",R,Drama,English,,"Jan 15, 2021",1h 40m,"Surround,Dolby Stereo",The Blackout,,,,
Keisuke Kinoshita,,Akira Kurosawa,,Shochiku,,Drama,Japanese,,,1h 13m,,The Portrait,,,,
Sally Potter,Christopher Sheppard,Sally Potter,Bleecker Street Media,"BBC Films,Adventure Pictures,British Film Institute",R (Language),Drama,English,"Mar 13, 2020, Limited","May 22, 2020",1h 25m,,The Roads Not Taken,$3.3K,,,
Steven C. Miller,"Geoffrey James Clark,William Clevinger,Jeremy McCormick",Steven C. Miller,,,,"Action,Horror",English,,,1h 20m,,Transfusion,,,,"Mar 4, 2008"
Larry Cohen,Larry Cohen,,,,"PG-13,TV-PG",Mystery & Thriller,English,,"May 22, 2017",1h 28m,,As Good as Dead,,,,
Alejandro González Iñárritu,"Alejandro González Iñárritu,Stacy Perskie","Alejandro González Iñárritu,Nicolás Giacobone",Netflix,"Estudios Churubusco Azteca S.A.,Redrum",R (Language Throughout|Graphic Nudity|Strong Sexual Content),"Comedy,Drama",Spanish,"Nov 4, 2022, Limited","Dec 16, 2022",2h 39m,"Dolby Atmos,Dolby Digital","Bardo, False Chronicle of a Handful of Truths",,Scope (2.35:1),,
Ferdinando Cito Filomarino,"Luca Guadagnino,Francesco Melzi d'Eril,Marco Morabito,Gabriele Moratti,Rodrigo Teixeira","Ferdinando Cito Filomarino,Kevin A. Rice",,"RT Features,Frenesy Film Company,RAI Cinema,MeMo Films,Faliro House Productions",,Mystery & Thriller,English,,"Aug 13, 2021",1h 48m,,Beckett,,,,
Emma Westenberg,"Mark Amin,Christine Vachon,Clara McGregor,Vera Bulder,Greg Lauritano,Mason Plotts,Cami Winikoff",Ruby Caster,Vertical,"Killer Films,Black Magic,Sobini Films",,Drama,English,"Feb 16, 2024, Limited","Feb 16, 2024",1h 42m,,Bleeding Love,,,,
"Bradford Thomason,Brett Whitcomb","Bryan Storkel,Bradford Thomason,Brett Whitcomb",,AMC Theatres Distribution,"Sidestilt,XTR,Window Pictures",,Documentary,English,"Mar 17, 2024, Limited","Apr 30, 2024",1h 27m,,Butterfly in the Sky,,,,
Joe Stephenson,"Liam Coutts,Guy de Beaujeu,Joe Stephenson",Dan Kelly-Mulhern,Hammer Films,"B Good Picture Company,Anderson Entertainment",,"Drama,Horror,Mystery & Thriller",English,"Aug 2, 2024, Limited","Aug 2, 2024",1h 29m,,Doctor Jekyll,,,,
Cradeaux Alexander,Rohan Quine,Cradeaux Alexander,BayView Entertainment / Summer Hill Films / TomCat Films,Luxe Films,,"Drama,Horror",English,,"Sep 24, 2024",1h 25m,,Inherit the Witch,,,,
Arvin Chen,Matthew Kaplan,"Abigail Hing Wen,Charlie Oh,Mackenzie Dohr",Paramount+,"1 Productions Film,Ace Entertainment",,"Romance,Comedy,Drama",English,,"Aug 10, 2023",1h 35m,Dolby Digital,Love in Taipei,,,,
Martin Guigui,"Josi W. Konski,Tim Moore,Dahlia Waingort Guigui,Darren Moorman",Martin Guigui,Briarcliff Entertainment,"Astrablu Media,Reserve Entertainment,Pasaca Entertainment,Sunset Pictures,Open River Entertainment",PG-13 (Smoking|Violence|Some Racial Slurs),"Biography,Drama,Sports",English,"Apr 14, 2023, Wide","May 2, 2023",1h 54m,,Sweetwater,,Scope (2.35:1),,
"Jim Capobianco,Pierre-Luc Granjon","Ellen Byrne,Vincent Mc Carthy,Robert Rippberger,Ilan Urroz,Jim Capobianco,Martin Metz,Adrian Politowski",Jim Capobianco,Blue Fox Entertainment,"SIE Films,Leveller Media,Foliascope,Align,Curiosity Rights,Moo Studios,Leo and King,Tip-Top Productions,Carte Blanche Film,Curiosity Studio,Aerial Contrivance Workshop,Slated,Former Prodigy Media,Gaia Entertainment",PG (Some Thematic Elements|Nude Art Images),"Kids & Family,Adventure,Comedy,Animation",English,"Sep 15, 2023, Limited","Nov 7, 2023",1h 32m,,The Inventor,$190.0K,,,
Kostas Stamatopoulos,,Fotis Mihalopoulos,,,,Documentary,Greek,,,25m,,Waiting for the Barbarians,,,,
Chris Riedell,"Nicholas Bogner,Melanie Greene,Jina Panebianco",Ayn Carrillo Gailey,,"SPR Media,CaliWood Pictures,Affirmative Entertainment",R (Sexual Content Throughout|Language),"Romance,Comedy",English,,"Jul 15, 2020",1h 34m,,A Nice Girl Like You,,,,
Olli Saarela,"Ilkka Matila,Marko Röhr","Olli Saarela,Antti Tuuri",,Matila Röhr Productions (MRP),,"War,Drama",Finnish,,,1h 40m,,Ambush,,,,"Apr 23, 2002"
Shalini Kantayya,,Shalini Kantayya,,"7th Empire Media,Ford Foundation - Just Films,Chicken And Egg Pictures",,Documentary,English,,"Apr 5, 2021",1h 30m,,Coded Bias,,,,
Anthony Scott Burns,"Steven Hoban,Mark Smith,Brent Kawchuk",Anthony Scott Burns,IFC Midnight,Copperheart Entertainment,,"Sci-Fi,Horror",English,"Mar 12, 2021, Limited","Mar 12, 2021",1h 45m,,Come True,$61.6K,,,
Simone Scafidi,Giada Mazzoleni,"Manlio Gomarasca,Davide Pulici,Simone Scafidi",Shudder,"Paguro Film,Meclimone Produzioni Cinematografiche,341Production",,"Documentary,Biography",Italian,"Jan 31, 2024, Limited","Feb 2, 2024",1h 38m,,Dario Argento Panico,,,,
Nanette Burstein,"J.J. Abrams,Sean M. Stuart,Glen Zipper,Bill Gerber,Rachel Rusch Rich",,Max,"HBO Documentary Films,Zipper Bros Films,Gerber Pictures,Sutter Road Picture Company,Bad Robot",,"Documentary,Biography",English,,"Aug 3, 2024",1h 40m,,Elizabeth Taylor: The Lost Tapes,,,,
Laura Gabbert,"Laura Gabbert,Ruth Reichl,Paula P. Manzanedo,Caroline Libresco,Lisa Remington",,Greenwich Entertainment,"Foothill Productions,Real Lava",,Documentary,English,"Oct 2, 2024, Limited","Oct 22, 2024",1h 40m,,Food and Country,,,,
Anjali Nayar,,,Netflix,,,Documentary,English,,"Apr 26, 2024",1h 19m,,Hack Your Health: The Secrets of Your Gut,,,,
Mikael Marcimain,Fredrik Wikström,"Josh Campbell,Matthew Stuecken",,"Subotica Entertainment,SF Studios Production AB,STX Films,Ombra Films,Tre Vänner Produktion AB",PG-13 (Brief Drug Use|Bloody Injury Images|Suggestive Material|Partial Nudity|Smoking|Some Strong Language),"Mystery & Thriller,Action,Adventure,Drama",English,,"Dec 17, 2020",1h 27m,,Horizon Line,,,,
Ryland Brickson Cole Tews,"Mike Cheslik,Sebastian Johnson,Ryland Brickson Cole Tews",Ryland Brickson Cole Tews,,,,"Adventure,Comedy",English,"Jul 31, 2020, Limited","Aug 3, 2020",1h 18m,,Lake Michigan Monster,,,,
Barret Mulholland,"Nina Bains,Dominic Ewenson,David J. Phillips","Sean Kohnen,Matthew Kohnen",Red Hound Entertainment,Mulholland Productions,,Mystery & Thriller,English,,"Jul 9, 2024",1h 23m,,Last County,,,,
Sidney Lumet,"Amy Robinson,Griffin Dunne",Naomi Foner,Warner Bros. Pictures,Lorimar Film Entertainment,PG-13,Drama,English,"Sep 9, 1988, Original","Nov 14, 2008",1h 56m,Surround,Running on Empty,$1.8M,,,
James Nunn,"Andrew Prendergast,Christopher Reed,Mike Runagall,Andy Mayson,Nadine Luque",Nick Saltrese,Vertical Entertainment,"Vitality Visual Effects,Ingenious Media,Picaro Films,Freebie Films,Checkluck Films,Small Island Films",,Mystery & Thriller,British English,"May 13, 2022, Limited","May 13, 2022",1h 27m,,Shark Bait,,,,
"David Charbonier,Justin Powell","Ryan Scaringe,Meghan Weinstein,Carter Armstrong","David Charbonier,Justin Powell",IFC Midnight,"Mad Descent,SVO Special Vehicle Operations,Kinogo Pictures",R (Some Disturbing Violence),"Horror,Mystery & Thriller",English,"May 14, 2021, Limited","May 14, 2021",1h 22m,,The Djinn,$124.6K,Scope (2.35:1),,
Frederic Goode,"Terry Ashwood,Lionel Hoare","Jean Scott Rogers,Frank Wells",,"Children's Film Foundation,Associated British-Pathé",,"Kids & Family,Adventure",British English,,,1h 0m,,The Flood,,,,
Yuen Fai Ng,Louis Koo,"Ho Leung Lau,Chi-Leung Law,Tin Shu Mak",,"One Cool Film Production,Media Asia Films Ltd. [hk],Hua Wen Movie Group",TV-14 (Fear|Language|Violence),Sci-Fi,Chinese,,"Dec 2, 2022",1h 52m,,Warriors of Future,,,,
Mayim Bialik,"Jordan Beckerman,Ash Christian,Anne Clements,Michael Day,Jordan Yale Levine,Mark Maxey",Mayim Bialik,Quiver Distribution,"Screen Media Films,Cranium Entertainment,BondIt Media Capital,Slated,Bradley Pilz Productions,Carte Blanche Film,Yale Productions,Film Mode Entertainment ,Vested Interest,Idiot Savant Pictures",R (Language),"Comedy,Drama,Romance",English,"Apr 8, 2022, Limited","Apr 8, 2022",1h 36m,,As They Made Us,,,,
Louisa Warren,Claudine-Helene Aumord,Shannon Holiday,,"ChampDog Films,Left Films",,"Romance,Drama",British English,,"Jul 2, 2020",1h 30m,,Dirty Work,,,,
Randall Emmett,"Alex Eckert,Randall Emmett,George Furla,Nick Koskoff,Luillo Ruiz,Timothy C. Sullivan",Alan Horsnail,Lionsgate Films,"River Bay Films,Emmett/Furla/Oasis Films,Pimienta,BondIt Media Capital,Verdi Productions",R (Violence|Language Throughout),"Mystery & Thriller,Crime,Drama",English,"Jul 23, 2021, Limited","Jul 23, 2021",1h 39m,,Midnight in the Switchgrass,,Scope (2.35:1),,
Brett Morgen,Brett Morgen,Brett Morgen,Neon,"BMG,Public Road Prods.,Live Nation Productions",PG-13 (Smoking|Brief Strong Language|Some Sexual Images/Nudity),"Documentary,Music",English,"Sep 23, 2022, Wide","Apr 29, 2023",2h 14m,Dolby Digital,Moonage Daydream,$4.3M,,,
Pavle Vuckovic,,"Pavle Vuckovic,Jelena Vuksanovic",,,,"Drama,Romance,Mystery & Thriller",Serbian,,"Sep 22, 2016",1h 45m,,Panama,,,,
Quentin Dupieux,Hugo Sélignac,Quentin Dupieux,Magnolia Pictures,"Chi-Fou-Mi Productions,Gaumont",,Comedy,French (France),"Mar 31, 2023, Limited","Mar 31, 2023",1h 17m,,Smoking Causes Coughing,$64.2K,,,
Michael Curtiz,,,,Paramount Pictures,,Western,English,"Mar 5, 1959, Limited","Nov 19, 2009",1h 26m,,The Hangman,,,,
Jesse Thomas Cook,"Jesse Thomas Cook,Samuel Scott",Tony Burgess,Freestyle Digital Media,Collingwood Film Co.,,"Kids & Family,Comedy,Sci-Fi",English,,"Jul 19, 2024",1h 35m,,The Hyperborean,,,,
"Jeremy Coon,Steve Kozak","Jeremy Coon,Steve Kozak,Kyle Newman","Jeremy Coon,Steve Kozak",Giant Pictures,Jeremy Coon Productions,,Documentary,English,"Nov 17, 2023, Limited","Dec 5, 2023",1h 26m,,A Disturbance in The Force,,,,
Jenny Popplewell,,,,,,"Crime,Documentary",English,,"Sep 30, 2020",,,American Murder: The Family Next Door,,,,
Eric Appel,,"Derek Kolstad,Tripper Clancy",Amazon Studios,Hartbeat Productions,,"Action,Comedy",English,,"Feb 24, 2023",1h 18m,,Die Hart the Movie,,,,
Ole Bornedal,Thomas Heinesen,Ole Bornedal,Shudder,Nordisk Film Production,,"Drama,Mystery & Thriller",Danish,,"May 17, 2024",1h 55m,,Nightwatch: Demons Are Forever,,,,
Patrick Carpentier,,,,,,,,,,,,Walden,,,,
"Neeraj Ghaywan,Kayoze Irani,Shashank Khaitan,Raj Mehta","Karan Johar,Apoorva Mehta,Somen Mishra","Neeraj Ghaywan,Shashank Khaitan,Uzma Khan,Sumit Saxena",,Dharmatic Entertainment,,"Romance,Drama",Hindi,,"Apr 16, 2021",2h 22m,,Ajeeb Daastaans,,,,
Jack Martin,,Jack Martin,Good Deed Entertainment	,Cosmic Hamlet Entertainment,,"Comedy,Adventure,Sci-Fi",English,,"Sep 27, 2024",1h 30m,,Bolt From The Blue,,,,
Brannon Braga,"Jason Clark,Michael Mahoney,Joseph J. Micucci","Brannon Braga,Adam Simon,Clive Barker",,"Fox 21 Television Studios,Fuzzy Door Productions",,"Horror,Mystery & Thriller,Drama",English,,"Oct 7, 2020",1h 47m,,Books of Blood,,,,
Julia Kuncheva,,,,,,,,,,,,For Sale,,,,
"Mari Okada,Seimei Kidokoro",Manabu Ohtsuka,Mari Okada,Netflix,"Legs,MAPPA,Dentsu,Mainichi Newspapers,Nature Lab.,Cygames,Movic,Bushiroad,Kadokawa,Warner Bros. Pictures Japan,Lawson Group",,"Drama,Fantasy,Romance,Anime",Japanese,,"Jan 15, 2024",1h 51m,,Maboroshi,,,,
Dane Elcar,"Max Woertendyke,Dane Elcar",Dane Elcar,Cinephobia Releasing,"Noble Gas Media,Pond Pictures",,"Horror,Fantasy,Mystery & Thriller,Sci-Fi",English,,"Aug 22, 2023",1h 24m,,Brightwood,,,,
D. Smith,"D. Smith,Harris Doran,Bill Butler",,Magnolia Pictures,"Couch Potatoe Pictures,Madison Square Films",R (Language Throughout|Graphic Nudity|Drug Use|Strong Sexual Content),"Documentary,LGBTQ+",English,"Jul 28, 2023, Limited","Nov 14, 2023",1h 13m,,KOKOMO CITY,$77.1K,,,
"Clyde Geronimi,Wilfred Jackson,Hamilton Luske",Walt Disney,"Ward Greene,Erdman Penner,Joe Rinaldi,Ralph Wright,Don DaGradi","Buena Vista Pictures,BV International Pictures [no]",Walt Disney Pictures,G,"Kids & Family,Fantasy,Animation",English,"Jun 22, 1955, Wide","Feb 20, 2018",1h 15m,Surround,Lady and the Tramp,,,,
Yelena Popovic,"Maria Giahnaki,Yelena Popovic,Alexandros Potter",Yelena Popovic,Fathom Events,"Simeon Entertainment,Eurogroup Film,2/35,DNA Lab (II),View Master Films,Cinnamon Production,MP Film Production",,"Biography,Drama",English,"Mar 21, 2022, Limited","Jul 26, 2022",2h 5m,,Man of God,,,,
Basil Joseph,Sophia Paul,"Arun Anirudhan,Justin Mathew",,Weekend Blockbusters,,"Action,Adventure,Comedy",Malayalam,,"Dec 24, 2021",2h 38m,,Minnal Murali,,,,
John McKeever,,,,,,"Comedy,Stand-Up",English,,"Sep 5, 2023",52m,,Shane Gillis: Beautiful Dogs,,,,
Kartiki Gonsalves,"Guneet Monga,Achin Jain",,,Sikhya Entertainment,PG (Mild Thematic Elements),"Documentary,Short",Tamil,,"Dec 8, 2022",41m,,The Elephant Whisperers,,,,
Robert Machoian,Clayne Crawford,Robert Machoian,Gravitas Ventures,"Visit Films,433,Victor House Films,Back40 Pictures",,"Drama,Mystery & Thriller",English,"Feb 17, 2023, Limited","Feb 17, 2023",1h 36m,,The Integrity of Joseph Chambers,,,,
Patricia Harris Seeley,"Cameron Larson,Trevor Seeley","José Prendes,Cameron Larson,Patricia Harris Seeley",Saban Films,"Ageless Pictures,Tonic Films,GHSTWRTR",R (Some Violence and Language),"Horror,Mystery & Thriller",English,"Jan 7, 2022, Limited","Jan 11, 2022",1h 38m,,The Legend of La Llorona,,,,
Veronica Rodriguez,"Tony Hernandez,Matthew Spiegel",Eydie Faye,Disney+,"Imagine Kids+Family,Disney Branded Television",,"Kids & Family,Comedy",English,,"Jul 28, 2023",1h 22m,,The Slumber Party,,,,
Francis Veber,Patrice Ledoux,Francis Veber,Sony Pictures Classics,Gaumont,PG-13 (Sexual Content and Language),Comedy,French (France),"Apr 20, 2007, Limited","Dec 18, 2015",1h 25m,Dolby,The Valet,$2.3M,,,
J. P. Watts,"Alexandra Breede,Luis Guerrero,Chris Lemos,Kevin Casebier,William Knochel",J. P. Watts,,Vital Pictures,,"War,History,Drama",British English,,"Nov 11, 2021",2h 0m,,The War Below,,,,
Morgan S. Dalibert,Rémi Leautier,"Morgan S. Dalibert,Alban Lenoir",Netflix,"Netflix France,Nolita Cinema,Inoxy Films",,"Action,Mystery & Thriller,Crime,Drama",French (France),,"Apr 28, 2023",2h 3m,,AKA,,,,
"Jim Wheat,Ken Wheat","Jim Wheat,Ken Wheat","Ken Wheat,Jim Wheat",MGM/UA Distribution Company,High Bar Productions,R,Horror,English,"Nov 3, 1989, Limited","Jan 19, 2017",1h 30m,Surround,After Midnight,$59.3K,,,
Brandon Tobatto,Brandon Tobatto,Brandon Tobatto,,Decomposing Pictures ,,"Comedy,Horror",English,,,1h 21m,,Cottontail,,,,
Rodrigo Garcia,"Jacob Avnet,Jon Avnet,Rodrigo Garcia,Marina Grasic,Jai Khanna","Rodrigo Garcia,Eli Saslow",Vertical Entertainment,"Indigenous Media,Productivity Media,Oakhurst Entertainment",R (Drug Content|Brief Sexuality|Language Throughout),Drama,English,"Apr 30, 2021, Limited","May 21, 2021",1h 40m,,Four Good Days,$828.7K,,,
Joko Anwar,"Shanty Harmayn,Tia Hasibuan,Aoura Lovenson Chandra,Ben Soebiakto",Joko Anwar,,"Rapi Films,Base Entertainment,Ivanhoe Pictures,CJ Entertainment",,"Drama,Horror,Mystery & Thriller",Indonesian,,"Jul 23, 2020",1h 46m,Dolby Digital,Impetigore,,,,
Alexander Hall,B.P. Schulberg,"William R. Lipman,Sam Hellman,Gladys Lehman",,Paramount,,Comedy,English,,"Oct 8, 2020",1h 20m,,Little Miss Marker,,,,
"Lydia Dean Pilcher,Ginny Mohler","Lydia Dean Pilcher,Emily McEvoy","Ginny Mohler,Brit Shaw",Juno Films,Cine Mosaic,,Drama,English,"Oct 23, 2020, Limited","Dec 3, 2020",1h 43m,,Radium Girls,,,,
Łukasz Kośmicki,,,,,,Mystery & Thriller,English,,"Feb 8, 2020",1h 43m,,The Coldest Game,,,,
Hu Guan,Wenjiu Zhu,"Hu Kun,Hu Guan,Rui Ge",CMC Pictures,"Huayi Brothers Media,Beijing Diqi Yinxiang Entertainment",,"War,History,Drama",Chinese,"Feb 26, 2021, Limited","Feb 23, 2021",2h 27m,,The Eight Hundred,$110.0K,Scope (2.35:1),,
Gaysorn Thavat,Emma Slade,Sophie Henderson,,"Firefly Films,New Zealand Film Commission,Madman Entertainment",,Drama,English,,"Sep 30, 2022",1h 41m,,The Justice of Bunny King,,,,
"Parkpoom Wongpoom,Banjong Pisanthanakun",,,,,,"Horror,Mystery & Thriller",English,,,,,Alone,,,,
Vlad Yudin,"Edwin Mejia Jr.,Vlad Yudin",Vlad Yudin,Generation Iron,,,"Biography,Documentary,Sports",English,,"Dec 1, 2023",1h 28m,,Bradley Martyn: The Influencer,,,,
Clare Cooney,"Clare Cooney,Jose Nateras,Kelly Parker,Dashawna Wright",Jose Nateras,Dark Sky Films,"Queensbury Pictures,Choppe Productions,Divisionist Films,Mary Ellen Moffat",,"Comedy,Horror,LGBTQ+",English,"Feb 2, 2024, Limited","Feb 2, 2024",1h 25m,,Departing Seniors,,,,
David Lister,,,,,,Drama,English,,,,,Hunted,,,,
Unknown Director,,,,,,,,,,,,One Shot,,,,
Francis Searle,,,,,,Mystery & Thriller,English,,,1h 5m,,Profile,,,,
Tiffany Hsiung,,Tiffany Hsiung,,,,Documentary,Korean,,"Sep 14, 2017",1h 44m,,The Apology,,,,
Paolo Cavara,,,,,,Drama,English,,,1h 37m,,The Ravine,,,,
George Cukor,Hal B. Wallis,Arnold Schulman,Paramount Pictures,Paramount,,Drama,English,"Dec 11, 1957, Original",,1h 54m,,Wild Is the Wind,,,,
Mauro Russo Rouge,,Mauro Russo Rouge,Kino Lorber,ACSD ArtInMovimento,,Documentary,Italian,"Aug 12, 2022, Limited","Sep 13, 2022",1h 28m,Stereo,Bloom Up: A Swinger Couple Story,$3.0K,,,
Stan Lathan,,,Netflix,,,"Comedy,Stand-Up",English,,"Dec 31, 2023",56m,,Dave Chappelle: The Dreamer,,,,
Rebecca Halpern,Renée Frigo,Rebecca Halpern,Greenwich Entertainment,Oak Street Pictures,,Documentary,English,"Nov 18, 2022, Limited","Nov 18, 2022",1h 37m,,"Love, Charlie: The Rise and Fall of Chef Charlie Trotter",,,,
Homi Adajania,Dinesh Vijan,"Gazal Dhaliwal,Suprotim Sengupta",Netflix,Maddock Films,,"Comedy,Mystery & Thriller",Hindi,,"Mar 14, 2024",2h 20m,,Murder Mubarak,,,,
Elizabeth Dimon,,,,,,Drama,English,,,2h 0m,,Private Property,,,,
"Graham Phillips,Parker Phillips","Cleta Elaine Ellington,Cassian Elwes,Graham Phillips,Parker Phillips",Michael Farris Smith,Lionsgate,"Grindstone Entertainment Group,Phillips Pictures,Elevated Films (II),Crooked Letter Picture Company",R (Violence|Some Sexual Material|Language),"Mystery & Thriller,Action",English,"Nov 3, 2023, Limited","Nov 10, 2023",1h 56m,,Rumble Through the Dark,,,,
Adam Stilwell,"Sean E. DeMott,Gill Gayle,Paul Holbrook,Patrick Rizzotti",Kent Harper,Gravitas Ventures,"Crossroad Productions,Hlbrk Ent,Execution Style Entertainment",,"Horror,Drama,Mystery & Thriller",English,"Jan 14, 2022, Limited","Jan 14, 2022",1h 22m,,The Free Fall,,,,
Unknown Director,,,,,,,,,,,,Trust,,,,
"Travon Free,Martin Desmond Roe","Lawrence Bender,Chris Uettwiller,Jesse Williams",Travon Free,,"Dirty Robber,NowThis",,Drama,English,,"Apr 9, 2021",29m,,Two Distant Strangers,,,,
Stig Svendsen,,"Espen Aukan,Stig Svendsen",,Filmkameratene A/S,TV-MA,"Horror,Mystery & Thriller",Norwegian,,"Feb 3, 2023",1h 37m,,Viking Wolf,,,,
Julio Quintana,"Ben Howard,Darren Moorman,Trey Reynolds,Javier Chapa","Julio Quintana,Chris Dowling",,"Provident Films,Third Coast Content,Mucho Mas Media,Endeavor Content,Reserve Entertainment",,Drama,English,,"May 27, 2021",1h 36m,Dolby Digital,Blue Miracle,,,,
Billy Ray,"Bobby Newmyer,Scott Strauss,Scott Kroopf","Adam Mazer,William Rotko,Billy Ray",Universal,"Universal Pictures,Outlaw Productions,Sidney Kimmel Entertainment",PG-13 (Sexual Content|Language|Violence),"Biography,Crime,Drama,Mystery & Thriller,Action",English,"Feb 16, 2007, Wide","Feb 12, 2014",1h 50m,"Dolby SRD,DTS,SDDS",Breach,$33.0M,Flat (1.85:1),,
Bille August,Marcella Linstad Dichmann,"Karen Blixen,Anders Frithiof August",Netflix,"JJ Film,SF Studios,Netflix",,"Adventure,Drama,Comedy",Danish,,"Sep 14, 2023",1h 34m,,Ehrengard: The Art of Seduction,,,,
Charlotte Le Bon,"Sylvain Corbeil,Julien Deris,David Gauquié,Nancy Grant","Charlotte Le Bon,François Choquet",Yellow Veil Pictures,"Ley Line Entertainment,Cinéfrance Studios,OnzeCinq,Metafilms,Les Productions du Ch'timi",,"Comedy,Drama,Romance",French (France),"Jun 2, 2023, Limited","Jun 13, 2023",1h 40m,Digital 5.1,Falcon Lake,,Flat (1.37:1),,
Zach Golden,"Jordan Beckerman,Zola Elgart Glassman,Jesse Korman,Jordan Yale Levine",James Pedersen,Saban Films,"Lucky 13 Productions,Yale Productions,Buffalo 8 Productions,BondIt Media Capital,E1 Entertainment",R (Violence|Language Throughout),"Action,Mystery & Thriller,Crime,Comedy",English,"Dec 16, 2022, Limited","Dec 16, 2022",1h 24m,,High Heat,,,,
