Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
John Ross,"David Brooks,Jenna Cavelle,Dawn Fanning Moore,David D. Moore,Arbi Pedrossian",John Ross,,"20th Digital Studio,Capture",TV-MA,"Horror,Mystery & Thriller",English,,"Oct 10, 2022",1h 41m,Grimcutty,,,,,
Park Chan-wook,"Lee Tae-heon,Jo Yeonguk","Park Chan-wook,Jeong Seo-kyeong",,Moho Film,R (Some Sexuality|Some Involving Children|Strong Violent Content),"Mystery & Thriller,Comedy,Drama",Korean,,"Apr 6, 2020",1h 54m,Lady Vengeance,,,$211.7K,,"May 5, 2006"
Laurence Vannicelli,"Bogdan George Apetri,Daniel Brandt,Cole Eckerle,Dane Eckerle,Daisy Long,Holland Roden,Sam Slater",Laurence Vannicelli,Dark Sky Films,"Slow Blink,Bad Grey,Cine Primo,Burn Later Prods.",,"Horror,Mystery & Thriller",English,"Jul 21, 2023, Limited","Jul 21, 2023",1h 39m,"Mother, May I?",,,,,
Amber Sealey,"Daniel Noah,Kim Sherman,Lisa Whalen,Elijah Wood",C. Robert Cargill,RLJE Films,Company X,,"Crime,Drama,Mystery & Thriller",English,"Aug 27, 2021, Limited","Aug 27, 2021",1h 40m,No Man of God,,,,,
Carly Stone,"Jonathan Bronfman,Kyle Mann",Alexandra Weir,Quiver Distribution,"Independent Edge Films,JoBro Productions & Film Finance",,"Comedy,Drama,Adventure",English,,"Apr 9, 2024",1h 30m,North of Normal,,,,,
Rob Reiner,"Rob Reiner,Michele Singer,Matthew George",,HBO,"HBO Documentary Films,Castle Rock Entertainment",,"Documentary,Biography",English,,"Nov 11, 2023",1h 22m,Albert Brooks: Defending My Life,,,,,
Sinish Sreedharan,"Arun Balaji,Nandakumar,Dhilip Subbarayan",Sinish Sreedharan,,"70mm Entertainment,Farmer's Master Plan Productions",,"Horror,Mystery & Thriller",Tamil,,"Apr 1, 2019",2h 26m,Balloon,,,,,
Emerson Moore,"Andrew Davies Gans,Michael Philip,Jason Moring,Emerson Moore","Emerson Moore,Joshua Dobkin,Sean Wathen",Lionsgate,"Stormchaser Films,Double Dutch International,Anacapa Pictures,Ingenious Media,CR8IV DNA,Glanzrock Productions",R,"Horror,Mystery & Thriller",English,"May 6, 2022, Limited","May 6, 2022",1h 28m,Escape The Field,,,,,
Brian Presley,"Timothy Patrick Cavanaugh,Mark David,Brian Presley,Christian Sosa",Brian Presley,Saban Films,"Buffalo 8 Productions,Rebel Road Entertainment",R (Violence),"Western,Drama",English,"Apr 22, 2022, Limited","Apr 26, 2022",1h 34m,Hostile Territory,,,,,
Martin Campbell,Gale Anne Hurd,,,Columbia Pictures Corporation,R,"Action,Adventure,Sci-Fi",English,,,1h 58m,No Escape,Surround,,$14.2M,,
Mikey Alfred,"Pharrell Williams,Noah Centineo,Mimi Valdés,Malcolm Washington,Yusef Chabayta,Mikey Alfred,Andrew Chennisi",Mikey Alfred,,Illegal Civ,,"Comedy,Drama",English,,"May 14, 2021",1h 33m,North Hollywood,,,,,
Marjane Satrapi,"Tim Bevan,Eric Fellner,Paul Webster",Jack Thorne,,"StudioCanal,Amazon Studios,Working Title Films",PG-13 (Brief Nudity|A Scene of Sexuality|Disturbing Images|Thematic Elements),"Biography,History,Drama",British English,,"Jul 24, 2020",1h 43m,Radioactive,,Scope (2.35:1),,,
Timeca M. Seretti,,Timeca M. Seretti,,,,Drama,English,,,14m,The Closet,,,,,
John P. McCarthy,,"Marian Constance Blackton,Joseph Farnham",Metro-Goldwyn-Mayer,,,"Romance,Comedy",,"Nov 12, 1927, Original",,58m,Becky,,,,,
Ayataka Tanemura,,"Johnny Onda,Ai Orii",Netflix,Pierrot,,"Fantasy,Action,Anime",Japanese,,"Jun 16, 2023",1h 50m,Black Clover: Sword of the Wizard King,,,,,
William Webb,"Monica Webb,William Webb","Brad Munson,William Webb",,"D.L. Partners,Westwind/480,DeYoung Company",PG-13,Comedy,English,,"Jun 10, 2019",1h 19m,Dirty Laundry,,,,,
Jason Lehel,"John Gordon,Jason Lehel",Jason Lehel,,,,Drama,English,,,1h 57m,Gaia,,,,,
Dmitriy Suvorov,,"Dmitriy Suvorov,Fyodor Derevyanskiy",Capelight Pictures,,,"Drama,Romance",Russian,,"May 14, 2024",1h 28m,Naughty,,,,,
Glendyn Ivin,"Emma Cooper,Steve Hutensky,Jodi Matterson,Bruna Papandrea,Naomi Watts","Shaun Grant,Harry Cripps",,"Roadshow Films,Fifth Season,Made Up Stories,Create NSW,Screen Australia,Broadtalk,JamTart Productions",,Drama,English,,"Jan 27, 2021",1h 35m,Penguin Bloom,,,,,
Vishnuvardhan,"Shabbir Boxwala,Hiroo Johar,Karan Johar,Apoorva Mehta,Ajay Shah,Harry Gandhi",Sandeep Shrivastava,,Dharma Productions,,Drama,Hindi,,"Aug 12, 2021",2h 15m,Shershaah,,,,,
Emmanuelle Pickett,"Sarah Gabriel,Marc Goldberg,James Harris,Mark Lane",Anthony Ragnone II,Lionsgate,"Particular Crowd,Tea Shop Productions,Signature Films",R,"Crime,Drama,Mystery & Thriller",English,"Dec 8, 2023, Limited","Dec 8, 2023",1h 21m,All Souls,,,,,
Carlos Saura,"Mariana Erijimovich,Alejandro Israel,Marcelo Schapces",Carlos Saura,,,,"Documentary,Music",Spanish,,"Mar 17, 2017",1h 25m,"Argentina, 1985",,,$14.9K,,
David James,"Patrick Ewald,Jake Heineke","David Andrew James,Nick Laughlin,Joe Zappa",Dread,"Dread Presents,Traverse Terror",,"Horror,Mystery & Thriller",English,"Mar 29, 2024, Limited","Apr 2, 2024",1h 36m,Bag of Lies,,,,,
Michael Oblowitz,"Daniel Cummings,Sean Patrick O'Reilly,Michelle O'Reilly,David Fleming,Michael Oblowitz","Michael Kaycheck,Michael Oblowitz,Brooke Nasser",Lionsgate,"Red Sea Media,Grindstone Entertainment Group,BondIt Media Capital,Buffalo 8 Productions",R (Graphic Nudity|Drug Use|Language Throughout|Some Violence),"Crime,Drama,Mystery & Thriller,Action",English,"Jun 30, 2023, Limited","Jun 27, 2023",1h 28m,Confidential Informant,,,,,
Louie Schwartzberg,"Lyn Davis Lear,Louie Schwartzberg,Elease Lui Stemp",Mark Monroe,Self Distributed,"Moving Art Studio,Reconsider",,Documentary,English,"Oct 11, 2019, Limited","Aug 7, 2020",1h 21m,Fantastic Fungi,,Flat (1.85:1),$933.4K,,
Rhys Marc Jones,Alex Polunin,Rhys Marc Jones,,,,Drama,British English,,"May 4, 2020",15m,Father of the Bride,,,,,
Ben Lawrence,Matt Reeder,"Beatrix Christian,Ben Lawrence",Gravitas Ventures,"Night Kitchen Productions,Spectrum Films",,Drama,Australian English,"Nov 20, 2020, Limited","Nov 20, 2020",1h 51m,Hearts and Bones,,,,,
Tim Hill,"Phillip Glasser,Marvin Peart,Rosa Morris Peart","Tom J. Astle,Matt Ember",101 Studios,"West Madison Entertainment ,Dimension Films,Emmett/Furla/Oasis Films,Marro Films,TRI G",PG (Rude Humor|Language|Some Thematic Elements),Comedy,English,"Oct 9, 2020, Wide","Oct 10, 2020",1h 34m,The War With Grandpa,Dolby Digital,Flat (1.85:1),$21.3M,,
Justin Kurzel,"Liz Watts,Hal Vogel,Paul Ranford",Shaun Grant,IFC Films,"Screen Australia,Film4,Porchlight Films,Film Victoria,Daybreak Pictures,La Cinéfacture",R (Pervasive Language|Bloody Images|Sexual Content|Some Nudity|Strong Violence Throughout),"Crime,Drama,Biography",Australian English,"Apr 24, 2020, Limited","Apr 20, 2020",2h 4m,True History of the Kelly Gang,Dolby Digital,Scope (2.35:1),$33.8K,,
Daniel Benmayor,"Juan Solá,Daniel Benmayor","Daniel Benmayor,Ivan Ledesma",Amazon Studios,"Amazon Studios,Federation Spain",,"Sci-Fi,Mystery & Thriller",European Spanish,,"Oct 11, 2023",1h 52m,Awareness,,,,,
"Michael Ahern,Enda Loughman","Katie Holly,Yvonne Donohoe,Mary McCarthy",Enda Loughman,Good Deed Entertainment,"Good Deed Entertainment,Umedia,Blinder Films",R (Some Horror Violence|Sexual Content|Language),"Comedy,Fantasy",British English,"Mar 6, 2020, Limited","Jan 13, 2020",1h 34m,Extra Ordinary,,,$160.9K,,
Billy Corben,,,,,TV-MA,Documentary,English,,"Nov 1, 2022",1h 49m,God Forbid: The Sex Scandal that Brought Down a Dynasty,,,,,
Kristi Jacobson,"Selena Gomez,Stacey Abrams,Angus Wall,Kent Kubena,Terry Leonard,Aleen Keshishian,Zack Morgenroth",,Max,MakeMake Entertainment,,"Documentary,Music",English,,"Oct 17, 2024",1h 2m,Louder: The Soundtrack of Change,,,,,
Todd Holland,"David Magee,Neil Meron,Marc Shaiman","Billy Eddy,Matt Eddy,Jenny Jaffe,Greg Erb,Jason Oremland",,"Nickelodeon,Fake Empire,Playground Productions (II),Brightlight Pictures,Universal Pictures,Mattel Television,Monster High Productions,Nickelodeon Animation Studios",,"Kids & Family,Musical,Comedy,Fantasy",Zulu,,"Oct 6, 2022",1h 20m,Monster High: The Movie,,Flat (1.85:1),,,
Geoff Marslett,"Geoff Marslett,Melodie Sisk,Bill Way","Howe Gelb,Geoff Marslett",Cinedigm,"Mystery Meat Media,Fit Via Vi Film Productions,Minnow Mountain,Artless Media,Swerve Pictures",,"Comedy,Sci-Fi",English,,"Nov 14, 2023",1h 39m,Quantum Cowboys,,,,,
John Ridley,"Elizabeth Haggard,Regina King,Reina King,Anikah McLaren,John Ridley",John Ridley,Netflix,"Participant,BCD Travel,Royal Ties Productions",PG-13 (Some Smoking|Racial Slurs|Brief Violence|Strong Language),"Drama,Biography",English,"Mar 15, 2024, Limited","Mar 22, 2024",1h 57m,Shirley,,,,,
Richard Correll,"Richard Correll,Kevin Waller,Laurence J. Jaffe,Terry Rindal","Richard Correll,G.M. Mercier",Atlas Distribution Company,"Trailmaker Productions,120dB Films,Gerson Productions",PG (Thematic Content|Brief Smoking|A Brief Fight),Drama,English,"Apr 2, 2021, Limited","May 17, 2021",1h 40m,The Girl Who Believes in Miracles,Dolby,Scope (2.35:1),$3.1M,,
Grainger Hines,,Harry L. Welch Jr.,,,,Mystery & Thriller,English,,,1h 30m,The Mill,,,,,
Mary Mazzio,Mary Mazzio,Robert Fitzgerald,,50 Eggs Films,,Documentary,English,,"Jul 31, 2020",1h 25m,A Most Beautiful Thing,Dolby Digital,,,,
E.W. Swackhamer,,,,"Paramount Television,Wilshire Court Productions",PG-13,Mystery & Thriller,English,,,1h 40m,Are You Lonesome Tonight?,,,,,
Henry Bean,"Christopher Roberts,Susan Hoffman",Henry Bean,IDP Distribution,Fireworks Pictures,R (Some Sexual Content|Language|Strong Violence),Drama,English,"May 17, 2002, Original","Mar 17, 2017",1h 38m,Believer,"Surround,Dolby SR,Dolby Digital,Dolby A,Dolby Stereo",Flat (1.85:1),$406.0K,,
David M. Rosenthal,"Tai Duncan,Kelly McCormick,Patrick Newall",Brooks McLaren,,,TV-MA,"Sci-Fi,Mystery & Thriller,Action,Adventure",English,,"Jul 13, 2018",1h 53m,How It Ends,,,,,
Mark Toia,"Mark Toia,Pam Collis","Mark Toia,Jeff Hand",,"MRT Films Pty Ltd,11:11 Entertainment,Hanuman Films",,"Sci-Fi,Action,Mystery & Thriller",English,,"Dec 8, 2020",2h 11m,Monsters of Man,,,,,
Tommy Lee Wallace,,,,"MGM Television,Pacific Motion Pictures,Bona Fide Productions",,"Crime,Drama",English,,"Mar 13, 2017",1h 38m,Spree,,,,,
"Gaetano Morbioli,Paolo Sodi",Tom Newman,,Fathom Events,Cineroma SRL,,Music,Italian,"Apr 2, 2023, Limited","Dec 1, 2023",1h 30m,The Journey: A Music Special from Andrea Bocelli,,,,,
,,,,,,"Drama,Mystery & Thriller",English,,,14m,Vendetta,,,,,
Jingyi Shao,"Rishi Rajani,Lena Waithe,Brad Weston","Jingyi Shao,Jingyi Shao",Disney+,"Rotten Eggs Productions,Disney+,Hillman Grad,The Walt Disney Company,Synthetic Cinema International,Walt Disney Pictures,Makeready",PG,"Kids & Family,Comedy,Sports",English,,"Mar 10, 2023",1h 49m,Chang Can Dunk,Dolby Digital,,,,
John McKay,Lee Thomas,John McKay,Sony Pictures Classics,"Industry Entertainment,Film Council",R (Sexuality|Language),"Romance,Comedy",English,"Apr 5, 2002, Wide","Nov 30, 2016",1h 51m,Crush,"Dolby Stereo,Dolby Digital,Dolby A,Surround,Dolby SR",Scope (2.35:1),$1.1M,,
Julie Cohen,"Tommy Nguyen,Molly O'Brien",,Focus Features,"Universal Cinema,NBC News Studios",R (Some Language|Graphic Nude Images),Documentary,English,"Jun 30, 2023, Limited","Jul 18, 2023",1h 32m,Every Body,,,$258.9K,,
Kibwe Tavares,Ivana Mackinnon,Jack Thorne,,"Stray Bear Productions,Jellyfish Pictures,BFI Film Fund,Film4,Factory Fifteen,Shine Pictures",,Drama,British English,"Jan 16, 2013, Limited",,17m,Jonah,,,,,
Rainer Werner Fassbinder,"Dieter Schidor,Sam Waynberg","Rainer Werner Fassbinder,Burkhard Driest",,"Planet Film,Gaumont,Albatros Produktion",R,Drama,British English,,"Oct 15, 2020",1h 45m,Querelle,Surround,,,,
Andrey Bogatyrev,"Tatyana Voronetskaya,Andrey Bogatyrev","Andrey Bogatyrev,Vyacheslav Shikhaleev,Pavel Abramenkov",,,,"Action,Drama,Horror,War",Russian,,"Feb 15, 2022",1h 38m,Red Ghost: Nazi Hunter,,,,,
Alek Keshishian,"Michelle An,Caitlin Daley,Aleen Keshishian,Alek Keshishian,Katherine LeBlond,Stephanie Meurer,Zack Morgenroth","Alek Keshishian,Paul Marchand",Apple TV+,Lighthouse Management & Media,R (Language),"Documentary,Biography",English,"Nov 4, 2022, Limited","Nov 4, 2022",1h 35m,Selena Gomez: My Mind and Me,,,,,
Patrice Laliberté,Julie Groleau,"Patrice Laliberté,Charles Dionne,Nicolas Krief",,Couronne Nord,,Mystery & Thriller,Canadian French,,"Mar 28, 2020",1h 23m,The Decline,,,,,
Lyle Mitchell Corbine Jr.,"Lyle Mitchell Corbine Jr.,Thomas Mahoney,Eric Tavitian",Lyle Mitchell Corbine Jr.,Vertical Entertainment,"MM2 Entertainment,Cinereach,Pureplay Entertainment,BoulderLight Pictures,Thunderbird Films,30West,Grey Hour Production Services,Logical Pictures",,"Mystery & Thriller,Drama",English,"Sep 3, 2021, Limited","Sep 3, 2021",1h 30m,Wild Indian,,,,,
Tyler Trumbo,Tyler Trumbo,Tyler Trumbo,,,,Drama,English,,"Jun 19, 2017",15m,Frogman,,,,,
Spike Lee,Brian Grazer,Russell Gewirtz,Universal Pictures,"Universal Pictures,40 Acres & A Mule Filmworks,Imagine Entertainment",R (Some Violent Images|Language),"Mystery & Thriller,Crime,Drama",English,"Mar 24, 2006, Original","Apr 3, 2016",2h 9m,Inside Man,"SDDS,Dolby Digital,DTS,Dolby SRD",Scope (2.35:1),$88.5M,,
"Robert Cullen,José Luis Ucha","Cecil Kramer,Peter Lewis","Gillian Berrow,Tim Sullivan",,"Entertainment One,Netflix,Boulder Media,Allspark Animation,Hasbro Studios",PG (Some Thematic Elements),"Kids & Family,Comedy,Animation",English,,"Sep 24, 2021",1h 30m,My Little Pony: A New Generation,"Dolby Atmos,Dolby Digital",Scope (2.35:1),,,
Boris Petroff,Boris Petroff,"Boris Petroff,Edward D. Wood Jr.",,"Boris Petroff Productions,Pat Patterson Productions",,Comedy,English,,,1h 4m,Shotgun Wedding,,,,,
Will Sharpe,"Adam Ackland,Ed Clarke,Leah Clarke,Guy Heeley","Will Sharpe,Simon Stephenson",Amazon Studios,"StudioCanal,Amazon Studios,Shoebox Films,Film 4,SunnyMarch",PG-13 (Strong Language|Some Thematic Material),"Biography,Drama",British English,"Oct 22, 2021, Limited","Nov 5, 2021",1h 51m,The Electrical Life of Louis Wain,,,,,
Raphaël Jacoulot,,,,,,Drama,Canadian French,,"Feb 25, 2020",2h 0m,The Night Clerk,,,,,
Karl Pfeiffer,,,Planet Weird,,,Documentary,English,,"Sep 8, 2023",1h 38m,The Unbinding,,,,,
Aitch Alberto,"Eugenio Derbez,Lin-Manuel Miranda,Ben Odell,Chris Parker,Kyra Sedgwick,Dylan Sellers,Valerie Stadler",Aitch Alberto,Blue Fox Entertainment,"Big Swing Productions,Boies Schiller Entertainment,5000 Broadway Productions,3Pas Studios,Limelight",PG-13 (Thematic Elements|Some Strong Violence|Smoking|Sexual Material|Strong Language|Teen Drug/Alcohol Use),"Drama,Comedy,Fantasy",English,"Sep 8, 2023, Limited","Nov 14, 2023",1h 36m,Aristotle and Dante Discover the Secrets of the Universe,,,$372.1K,,
Robert Connolly,"Robert Connolly,James Grandison,Liz Kearney","Robert Connolly,Robert Connolly",Amor Media,Arenamedia,PG,"Kids & Family,Drama,Adventure",English,"Mar 3, 2023, Limited","Apr 21, 2023",1h 42m,Blueback,,,,,
Goran Stolevski,"Kristina Ceyton,Samantha Jennings",Goran Stolevski,Focus Features,"Causeway Films,Universal Films",R (Some Drug Use|Sexual Content|Language Throughout),"Romance,Drama,LGBTQ+",English,"Feb 17, 2023, Limited","Mar 7, 2023",1h 39m,Of an Age,,,$525.4K,,
"Chris Wedge,Carlos Saldanha",Chris Wedge,"Lowell Ganz,Babaloo Mandel",20th Century Fox,"Blue Sky Studios,Fox Animation Studios",PG (Suggestive Humor|Some Brief Language),"Kids & Family,Comedy,Sci-Fi,Animation",English,"Mar 11, 2005, Wide","Mar 20, 2013",1h 30m,Robots,"Dolby SRD,DTS",Scope (2.35:1),,,
Chuck Vincent,Chuck Vincent,"Chuck Vincent,Craig Horrall",,"Platinum Pictures (II),Vestron Pictures",R,Comedy,English,,"Mar 22, 2018",1h 24m,Sex Appeal,,,,,
Terry Jansen,Danny Crossman,Danny Crossman,Indie Rights,Kolo Productions,,"Drama,War",English,,"Sep 11, 2024",1h 30m,The Liberation Men,,,,,
Giles Andrews,"Jackie Alixander,Giles Andrews,Heath Centazzo","Giles Andrews,Heath Centazzo",Gravitas Ventures,"CE Pictures,Hugger / Solo Management",,"Mystery & Thriller,Crime,Drama",English,,"Apr 16, 2024",1h 20m,The Star City Murders,,,,,
"Javier Ruiz Caldera,Alberto de Toro",Cristian Conti,Jaime Marques Olarreaga,,"Telecinco Cinema,Malnazidos, A.I.E.,Ikiru Films,Cactus Flower Producciones,Terraza Films, La",,"Mystery & Thriller,War,Horror",European Spanish,,"Jul 11, 2022",1h 41m,Valley of the Dead,,,,,
Nikola Kojo,"Nikola Kojo,Biljana Prvanovic",Nebojsa Romcevic,,,,Comedy,Serbian,,,,Herd,,,,,
David Farrier,"Alex Reed,Emma Slade,Ant Timpson,David Farrier",,Drafthouse Films,Firefly Films,,Documentary,Australian English,"Oct 6, 2023, Limited","Nov 21, 2023",1h 36m,Mister Organ,,,$36.1K,,
Troy Miller,,,,,TV-G,"Comedy,Stand-Up",English,,"Mar 18, 2021",1h 0m,Nate Bargatze: The Greatest Average American,,,,,
John Badham,Lynn Raynor,Matthew Tabak,,"Lifetime Television,Viacom Productions,Robert Greenwald Productions",TV-14 (S|D),"Drama,Mystery & Thriller",English,,"Jan 19, 2017",1h 36m,Obsessed,,,,,
"Laura Girolami,Federico Patrizi",,"Federico Patrizi,Laura Girolami",,,,Mystery & Thriller,English,,,1h 24m,Surrounded,,,,,
Fiona Robert,"Drea Clark,Fiona Robert,Sophia Robert","Sophia Robert,Fiona Robert",Vertical,Robert Sisters Pictures,,Drama,English,"Sep 6, 2024, Limited","Sep 6, 2024",1h 36m,A New York Story,,,,,
Billy Luther,Chad Burris,Billy Luther,ARRAY Releasing,"The Sundance Screenwriters' Lab,REI Co-op Studios,Fit Via Vi Film Productions,MACRO,BCD Travel,Good Gravy Films,River Road Entertainment",,Drama,English,"Nov 24, 2023, Limited","Nov 24, 2023",1h 23m,Frybread Face and Me,,,,,
Shigeaki Kubo,,Tsutomu Kuroiwa,Netflix,Credeus,,"Action,Adventure",Japanese,,"May 19, 2024",2h 8m,Golden Kamuy,,,,,
Unjoo Moon,Rosemary Blight,Emma Jensen,Quiver Distribution,"Goalpost Pictures,Deep Blue Pacific",,"Biography,Drama,Music",Australian English,"Sep 11, 2020, Limited","Sep 11, 2020",1h 57m,I Am Woman,Dolby Digital,Flat (1.85:1),,,
Fansu Njie,"Fansu Njie,Daniel Stisen","Andreas Vasshaug,Fansu Njie,Daniel Stisen",,"Daniel Stisen Productions,Fansu Film (as NJIE Film)",R (Violence and Language),"Action,Mystery & Thriller,Drama",English,,"Oct 19, 2021",1h 27m,Last Man Down,,,,,
Craig Boreham,"Ulysses Oliver,Dean Francis,Ben Ferris,Craig Boreham",Craig Boreham,Dark Star Pictures,"Breathless Films,Doco Digital,JJ Splice films",,"Drama,LGBTQ+",Australian English,"Feb 17, 2023, Limited","Mar 7, 2023",1h 35m,Lonesome,,Scope (2.35:1),,,
Lorcan Finnegan,"Brunella Cocchiglia,Emily Leo",Garret Shanley,RLJE Films,"Wild Swim Films,Epicmedia Productions,Lovely Productions,Screen Ireland,XYZ Films",,Mystery & Thriller,English,"Nov 4, 2022, Limited","Nov 22, 2022",1h 37m,Nocebo,,,,,
Josef Pitura-Riley,,Josef Pitura-Riley,,,,Sci-Fi,British English,,"Aug 13, 2020",19m,Rewind,,,,,
Dan Friedkin,"Danny Friedkin,Ryan Friedkin,Sabine Brian,Bradley Thomas","Mark Fergus,Hawk Ostby",TriStar Pictures,"Imperative Entertainment,NL Film",R (Some Language|Nudity|Violence),Drama,English,"Nov 20, 2020, Limited","Jan 29, 2021",1h 57m,The Last Vermeer,,Flat (1.85:1),$682.3K,,
Shlok Sharma,"S.M. Ferozeuddin Alameer,Guneet Monga,Achin Jain,Anurag Kashyap",Shlok Sharma,,"Sikhya Entertainment,Khussro Films",,"Drama,Romance",Hindi,,"Apr 4, 2017",1h 32m,The Wretched,,,,,
Alessio Di Giambattista,"Scott Connolly,Veronica Radaelli,Lorenzo Mazzé",Alberto Iozzia,,Orange Media,,"Comedy,Drama",English,,"Jun 1, 2020",1h 25m,Better Days,,,,,
Max Lowe,"Katy Chevigny,Marilyn Ness",,Netflix,Big Mouth Productions,,Documentary,Ukrainian,,"Oct 15, 2023",33m,Camp Courage,,,,,
Ant Timpson,"Daniel Bekerman,Toby Harvard,Katie Holly,Mette-Marie Kongsved,Emma Slade,Laura Tunstall",Toby Harvard,Saban Films,"Blinder Films,Nowhere,Firefly Films",R (Language Throughout|Graphic Nudity|Sexual Content|Strong Violence),"Comedy,Mystery & Thriller",English,"Feb 7, 2020, Limited","Feb 5, 2020",1h 33m,Come to Daddy,,Scope (2.35:1),$61.4K,,
,,,,,,Drama,Chinese,,,1h 30m,Faithfully Yours,,,,,
Matt Peters,,Ernie Altbacker,,"Warner Bros. Animation,DC Entertainment",R (Bloody Violence),"Action,Adventure,Animation",English,,"Oct 18, 2021",1h 18m,Injustice: Gods Among Us,,,,,
Bob Byington,"Bob Byington,Chris McKenna",Bob Byington,Magnolia Pictures,Americano Brutto,,Comedy,English,"Mar 29, 2024, Limited","Mar 29, 2024",1h 16m,Lousy Carter,,,$11.2K,,
Andrew Levitas,"Johnny Depp,Bill Johnson,David K. Kessler,Andrew Levitas,Sam Sarkar,Gabrielle Tana,Kevan Van Thompson","David K. Kessler,Stephen Deuters,Andrew Levitas,Jason Forman",Samuel Goldwyn Films,"Kreo Films FZ,Metalwork Pictures,Infinitum Nihil,Head Gear Films,Metrol Technology",R (Language Throughout),Drama,English,"Dec 15, 2021, Limited","Apr 8, 2022",1h 55m,Minamata,Dolby Digital,Flat (1.85:1),,,
Ruth Leitman,"Rachel Rozycki,Andrea Raby",,,Ruthless Films,,Documentary,English,"Oct 18, 2024, Limited","Oct 25, 2024",1h 40m,No One Asked You,,,,,
"Connor Martin,Mark Allen Johnson","Steph Curry,Ayesha Curry,Jeff Martin,Erick Peyton,Connor Martin,Mark Allen Johnson",,Peacock,,,Documentary,English,,"Sep 16, 2024",1h 9m,Sentenced,,,,,
Andy Armstrong,"Rob Goodrich,Jason Armstrong,Andy Armstrong,Danielle Burgio","Danielle Burgio,Andy Armstrong",Lionsgate,"LB Entertainment,BCD Travel,Walk Like a Duck Entertainment",R (Language Throughout|Graphic Nudity|Drug Use|Some Sexual Material|Strong Violence and Gore),"Horror,Mystery & Thriller,Action",English,"Nov 3, 2023, Limited","Nov 3, 2023",1h 40m,Squealer,,,,,
Malcolm D. Lee,"Bill Carraro,Sam Kitt,Spike Lee",Malcolm D. Lee,Universal Pictures,40 Acres & A Mule Filmworks,R,"Comedy,Drama",English,"Oct 22, 1999, Wide","Jun 15, 2012",2h 0m,The Best Man,"SDDS,Dolby Digital,DTS,Surround",,$34.1M,,
"Renat Davletyarov,Cindy Robinson",,"Alexey Timoshkin,Sergey Ashkenazi,Renat Davletyarov",,Star Media,,"Drama,History,Biography",Russian,,"Mar 1, 2022",1h 45m,The Pilot: A Battle for Survival,,,,,
Nathaniel Martello-White,"Valentina Brazzini,Tristan Goligher,Rob Watson",Nathaniel Martello-White,,"The Bureau,Universal Films",,"Drama,Mystery & Thriller",British English,,"Feb 22, 2023",1h 40m,The Strays,,,,,
Shane Meadows,Mark Herbert,Shane Meadows,,"Warp Films,Ingenious Film Partners,Big Arty",,Drama,English,,"May 18, 2020",1h 38m,This Is England,,,$327.9K,,"Jul 27, 2007"
Iliana Sosa,"Emma D. Miller,Iliana Sosa","Isidore Bethel,Iliana Sosa",,Borderchild Productions,,Documentary,Spanish,,"Sep 30, 2022",1h 11m,What We Leave Behind,,,,,
Jesse V. Johnson,,Jesse V. Johnson,Saban Films,"Bleiberg Entertainment,Picture Perfect",R (Strong Bloody Violence|Some Language),"History,Drama,War",British English,"Oct 27, 2023, Limited","Oct 27, 2023",1h 40m,Boudica: Queen of War,,,,,
,,,,,,Action,Hindi,,,3h 0m,Gunda,,,,,
Chris Henchy,"Joe Gatto,James Murray,Brian Quinn,Sal Vulcano,Chris Henchy,Jim Ziegler",Chris Henchy,truTV,"Funny or Die,truTV",PG-13 (Language|Brief Nudity|Some Drug References|Suggestive Content),Comedy,English,"Feb 28, 2020, Wide","Apr 1, 2020",1h 33m,Impractical Jokers: The Movie,,,$10.2M,,
Miguel Arteta,"Marc D. Evans,Peter Principato,Joel Zadak,Itay Reiss","Sam Pitman,Adam Cole-Kelly",Paramount Pictures,"Artists First,Paramount Pictures",R (Drug Use|Crude Sexual Material|Language),Comedy,English,"Jan 10, 2020, Wide","Apr 7, 2020",1h 23m,Like a Boss,,Scope (2.35:1),$22.1M,,
Dana Brawer,,Dana Brawer,,,,Drama,English,,,8m,Lullaby,,,,,
Mike Roth,Rebecca Palatnik,"Morgan Evans,Jase Ricci",Prime Video,"DC Entertainment,Warner Animation Group",,"Holiday,Action,Adventure,Animation,Comedy,Kids & Family",English,,"Dec 8, 2023",1h 32m,Merry Little Batman,,,,,
Jonas Ungar,Jonas Ungar,Jonas Ungar,,,,"Comedy,Drama",German,,,36m,Simulant,,,,,
Austin Stark,"Amanda Bowers,Molly Conners,Bingo Gubelmann,Benji Kohn,Vincent Morano,Jane Oster Sinisi,Ari Daniel Pinchot,Jonathan Rubenstein,Austin Stark",Austin Stark,Vertical Entertainment,"Paper Street Films,Crystal City Entertainment ,Phiphen Pictures",,Drama,English,"Jul 2, 2021, Limited","Jul 2, 2021",1h 39m,The God Committee,,,,,
Vince Marcello,"Michele Weisler,Andrew Cole-Bulgin,Ed Glauser",Vince Marcello,,Komixx Entertainment,TV-14,"Romance,Comedy",English,,"May 11, 2018",1h 45m,The Kissing Booth 2,,Scope (2.35:1),,,
